rank_score,scene_slug,tide,source_pack,status,stats_version,loop_vb,target_vb,over_target_vb,over_target_percent,blocking_vb,prefetch_overrun_vb,magic,encoding,pack_bytes,payload_bytes,upload_bytes,upload_rects,max_upload_bytes,max_upload_rects,xband_align4_bytes,xband_align4_rects,xband_align4_cap_hits,xband_align4_rect_pressure,max_xband_align4_bytes,max_xband_align4_rects,xband_align4_saved_percent,exact_upload_bytes,exact_upload_intervals,max_exact_upload_intervals,exact_upload_saved_percent,upload_ready_payload_bytes,upload_ready_payload_growth_percent,restore_bytes,restore_intervals,notes
345.69,visitor3,low,generated/ps1/foreground/VIST3LOW.FG2,measured,visitor3-low-group170-186-v080b,1452,1012,440,43.48,361,19,FGP3,pal4,1555450,1552446,11877120,216,614400,4,5110160,216,3,1.5,614400,4,56.97,2083878,107741,3822,82.45,5111888,229.28,973290,98135,x-band rect cap pressure; needs selective bands
340.09,visitor3,high,generated/ps1/foreground/VISITOR3.FG2,measured,visitor3-setup-prime-192k-v080,1450,1015,435,42.86,355,14,FGP3,pal4,1555450,1552446,11877120,216,614400,4,5110160,216,3,1.5,614400,4,56.97,2083878,107741,3822,82.45,5111888,229.28,973290,98135,x-band rect cap pressure; needs selective bands
221.36,building4,high,generated/ps1/foreground/BUILDING4.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2985,2774,211,7.61,285,51,FGP3,pal4,1714154,1705426,14234880,724,614400,8,4968280,724,3,1.7,614400,8,65.1,1945510,140756,2137,86.33,4974072,191.66,928458,119381,x-band rect cap pressure; needs selective bands
216.5,building2,high,generated/ps1/foreground/BUILDING2.FG2,measured,stale-pressure-v072c-current-refresh,1476,1285,191,14.86,286,66,FGP3,pal4,1303332,1296388,14190720,824,614400,7,4643264,824,0,2.47,614400,7,67.28,1639986,111295,2116,88.44,4649856,258.68,672676,82608,candidate
215.29,mary2,high,generated/ps1/foreground/MARY2.FG2,measured,mary2-fgp3-padded-v081,2330,2252,78,3.46,668,0,FGP3,pal4,582189,521520,8807040,362,614400,7,3354264,362,0,1.55,614400,7,61.91,1115734,49323,960,87.33,3357160,543.73,326352,37028,large upload-ready payload; needs compression/selective bands
211.94,mary2,low,generated/ps1/foreground/MARY2LOW.FG2,measured,mary2-fgp3-padded-v081,2327,2252,75,3.33,662,0,FGP3,pal4,582189,521520,8807040,362,614400,7,3354264,362,0,1.55,614400,7,61.91,1115734,49323,960,87.33,3357160,543.73,326352,37028,large upload-ready payload; needs compression/selective bands
207.74,building4,low,generated/ps1/foreground/BUIL4LOW.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2981,2784,197,7.08,199,119,FGP3,pal4,1714154,1705426,14234880,724,614400,8,4968280,724,3,1.7,614400,8,65.1,1945510,140756,2137,86.33,4974072,191.66,928458,119381,x-band rect cap pressure; needs selective bands
207.56,building2,low,generated/ps1/foreground/BUIL2LOW.FG2,measured,stale-pressure-v072c-current-refresh,1465,1278,187,14.63,279,48,FGP3,pal4,1303332,1296388,14190720,824,614400,7,4643264,824,0,2.47,614400,7,67.28,1639986,111295,2116,88.44,4649856,258.68,672676,82608,candidate
184.96,walkstuf1,low,generated/ps1/foreground/WALK1LOW.FG2,measured,walkstuf1-fgp2-setup-prime-v080,1614,1397,217,15.53,276,59,FGP2,pal4,1535263,1530775,17006080,615,614400,8,9074120,615,1,2.85,614400,8,46.64,4759878,69552,960,72.01,9079040,493.1,4258138,61597,x-band rect cap pressure; needs selective bands
171.55,walkstuf1,high,generated/ps1/foreground/WALKSTUF1.FG2,measured,walkstuf1-fgp2-setup-prime-v080,1595,1403,192,13.68,278,50,FGP2,pal4,1535263,1530775,17006080,615,614400,8,9074120,615,1,2.85,614400,8,46.64,4759878,69552,960,72.01,9079040,493.1,4258138,61597,x-band rect cap pressure; needs selective bands
130.77,johnny2,low,generated/ps1/foreground/JOHN2LOW.FG2,measured,johnny2-fgp3-padded-v081,1800,1751,49,2.80,377,0,FGP3,pal4,288637,223362,4761600,221,614400,5,1212776,221,0,1.52,614400,5,74.53,854120,19365,1035,82.06,1214544,443.76,153730,14602,candidate
129.52,johnny2,high,generated/ps1/foreground/JOHNNY2.FG2,measured,johnny2-fgp3-padded-v081,1801,1751,50,2.86,369,0,FGP3,pal4,288637,223362,4761600,221,614400,5,1212776,221,0,1.52,614400,5,74.53,854120,19365,1035,82.06,1214544,443.76,153730,14602,candidate
68.45,building6,low,generated/ps1/foreground/BUIL6LOW.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2515,2437,78,3.20,70,66,FGP2,pal4,1444370,1438098,23434880,771,614400,8,13084216,771,6,2.52,614400,8,44.17,3888874,108893,960,83.41,13090384,810.26,3528604,104248,x-band rect cap pressure; needs selective bands
65.95,building6,high,generated/ps1/foreground/BUILDING6.FG2,measured,building4-6-johnny6-v072c-prefetch-relief,2520,2442,78,3.19,62,64,FGP2,pal4,1444370,1438098,23434880,771,614400,8,13084216,771,6,2.52,614400,8,44.17,3888874,108893,960,83.41,13090384,810.26,3528604,104248,x-band rect cap pressure; needs selective bands
60.93,walkstuf3,high,generated/ps1/foreground/WALKSTUF3.FG2,measured,stale-pressure2-v072c-current-refresh,2321,2278,43,1.89,68,36,FGP3,pal4,1026922,1017926,19031040,915,614400,7,3573104,915,0,2.09,614400,7,81.22,1684890,98888,960,91.15,3580424,251.74,681994,81245,candidate
50.14,mary1,high,generated/ps1/foreground/MARY1.FG2,measured,mary1-v072c-prefetch-relief,4867,4830,37,0.77,47,37,FGP3,pal4,1616663,1600043,28089600,1907,614400,7,5970024,1907,0,2.33,614400,7,78.75,2332736,147041,960,91.7,5985280,274.07,1108492,127696,candidate
40.8,activity9,high,generated/ps1/foreground/ACTIVITY9.FG2,measured,activity9-fgp3-v072c,2101,2056,45,2.19,44,28,FGP3,pal4,1745484,1453793,19452800,888,614400,8,9598136,888,19,3.48,614400,8,50.66,2260276,121828,1173,88.38,9605240,560.7,1306994,108056,x-band rect cap pressure; needs selective bands
35.23,walkstuf3,low,generated/ps1/foreground/WALK3LOW.FG2,measured,stale-pressure2-v072c-current-refresh,2321,2295,26,1.13,40,20,FGP2,pal4,994669,986873,30257280,1215,614400,7,6718064,1215,0,3.21,614400,7,77.8,2519080,112507,960,91.67,6727784,581.73,2221006,105282,large upload-ready payload; needs compression/selective bands
32.99,activity9,low,generated/ps1/foreground/ACTV9LOW.FG2,measured,activity9-lowgroup-v072c,2093,2056,37,1.80,43,14,FGP3,pal4,1745484,1453793,19452800,888,614400,8,9598136,888,19,3.48,614400,8,50.66,2260276,121828,1173,88.38,9605240,560.7,1306994,108056,x-band rect cap pressure; needs selective bands
