frame_index,source_frame,hold_vblanks,entry_data_size,initial_full_dirty,cleanup_bytes,cleanup_intervals,draw_exact_bytes,draw_exact_intervals,runtime_full_width_bytes,runtime_full_width_rows,runtime_full_width_rects,runtime_cap_hit,xband_exact_align4_bytes,xband_exact_align4_rects,xband_exact_align4_cap_hit,xband_exact_align4_draw_covered_bytes,xband_exact_align4_draw_covered_rects,xband_exact_align4_all_draw_covered,xband_exact_align4_saved_bytes,xband_exact_align4_saved_percent,exact_interval_upload_bytes,exact_interval_upload_rects,selective_plan,budgeted_selective_plan
0,2,9,999,True,0,0,2488,97,614400,960,4,0,614400,4,0,0,0,0,0,0.0,614400,960,excluded_threshold,excluded_threshold
1,4,17,1200,False,1152,86,1682,133,49280,77,1,0,5544,1,0,0,0,0,43736,88.75,2834,179,selected,selected
2,6,25,1277,False,1212,83,1884,148,48640,76,1,0,5472,1,0,0,0,0,43168,88.75,3096,184,selected,selected
3,8,33,1331,False,676,86,1594,199,48000,75,1,0,5400,1,0,0,0,0,42600,88.75,2270,231,selected,selected
4,10,41,1302,False,1044,88,1808,163,49920,78,1,0,6240,1,0,0,0,0,43680,87.5,2852,211,selected,selected
5,12,49,1304,False,1026,84,1634,181,50560,79,1,0,5688,1,0,0,0,0,44872,88.75,2660,218,selected,selected
6,14,50,1315,False,966,88,1950,149,49920,78,1,0,6240,1,0,0,0,0,43680,87.5,2916,188,selected,selected
7,15,57,1200,False,1152,86,1682,133,49280,77,1,0,5544,1,0,0,0,0,43736,88.75,2834,179,selected,selected
8,16,65,1313,False,950,84,1724,180,48640,76,1,0,5472,1,0,0,0,0,43168,88.75,2674,216,selected,selected
9,18,73,1300,False,844,88,1796,165,48000,75,1,0,4800,1,0,0,0,0,43200,90.0,2640,200,selected,selected
10,20,81,1302,False,1044,88,1808,163,49920,78,1,0,6240,1,0,0,0,0,43680,87.5,2852,211,selected,selected
11,22,89,1256,False,1040,84,1828,139,49920,78,1,0,5616,1,0,0,0,0,44304,88.75,2868,180,selected,selected
12,24,97,1357,False,1098,84,1838,183,49920,78,1,0,6240,1,0,0,0,0,43680,87.5,2936,216,selected,selected
13,26,105,1200,False,1152,86,1682,133,49280,77,1,0,5544,1,0,0,0,0,43736,88.75,2834,179,selected,selected
14,28,106,1288,False,962,83,1718,170,48640,76,1,0,5472,1,0,0,0,0,43168,88.75,2680,209,selected,selected
15,29,113,1272,False,680,83,1732,165,48000,75,1,0,4800,1,0,0,0,0,43200,90.0,2412,193,selected,selected
16,30,121,1286,False,1164,86,1880,151,49920,78,1,0,6240,1,0,0,0,0,43680,87.5,3044,199,selected,selected
17,32,129,1304,False,1026,84,1634,181,50560,79,1,0,5688,1,0,0,0,0,44872,88.75,2660,218,selected,selected
18,34,137,1299,False,694,84,1846,161,49920,78,1,0,5616,1,0,0,0,0,44304,88.75,2540,187,selected,selected
19,36,145,1238,False,908,84,1366,191,51840,81,3,0,4904,3,0,0,0,0,46936,90.54,2274,222,selected,selected
20,38,153,1262,False,824,85,1786,209,90240,141,3,0,4688,3,0,0,0,0,85552,94.8,2610,243,selected,selected
21,40,155,1312,False,1290,109,1922,181,96000,150,2,0,6000,2,0,0,0,0,90000,93.75,3212,246,selected,selected
22,41,161,1845,False,670,58,1776,238,101120,158,3,0,6720,3,0,0,0,0,94400,93.35,2446,276,selected,selected
23,42,165,297,False,26,4,382,29,8320,13,1,0,624,1,0,0,0,0,7696,92.5,408,31,excluded_threshold,excluded_threshold
24,43,169,533,False,44,5,894,70,12160,19,1,0,1672,1,0,0,0,0,10488,86.25,938,74,excluded_threshold,excluded_threshold
25,44,173,687,False,278,27,1094,111,14720,23,1,0,2760,1,0,0,0,0,11960,81.25,1372,128,excluded_threshold,excluded_threshold
26,45,177,694,False,662,29,1068,115,14720,23,1,0,3496,1,0,0,0,0,11224,76.25,1730,130,excluded_threshold,excluded_threshold
