label,target_speed_pct,threshold_pct,loop_vb,target_vb,overrun_vb,blocking_vb,prefetch_overrun_vb,loop_reads,due_misses,upload_bytes,upload_rects,restore_bytes,max_payload_idx,max_payload,prefetch_policy,candidate_rank,candidate_size,candidate_start,candidate_end,candidate_saved_reads,candidate_read_count,candidate_touched_reads,candidate_est_read_vb,candidate_score,candidate_risk,candidate_cd_class,candidate_scheduler_class,candidate_entries,candidate_payload_bytes,candidate_first_gap_s,candidate_internal_gap,candidate_fireable,candidate_closed_by_log,candidate_phase_trap,candidate_phase_trap_reason,candidate_next_lane,candidate_recommendation
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,1,24,84,108,4,5,5,54.18,3315,medium-risk:validate-phase,unsafe:tight-visible-gap,high-risk:scheduler-only,43..56,24173,0.0663,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,2,24,365,389,3,4,5,59.20,2193,medium-risk:validate-phase,risky:short-visible-gap,scheduler-owned-candidate,180..188,40597,0.2346,short,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,3,24,74,98,3,4,5,199.65,2153,high-risk:visible-cadence,unsafe:tight-visible-gap,high-risk:scheduler-only,38..49,31861,0.1167,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,4,24,92,116,3,4,4,40.07,2007,high-risk:visible-cadence,unsafe:tight-visible-gap,high-risk:scheduler-only,48..60,20671,0.0663,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,5,16,372,388,2,3,3,44.18,1567,candidate:low-visible-risk,risky:short-visible-gap,scheduler-owned-candidate,183..188,26383,0.2346,short,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,6,16,379,395,2,3,3,37.09,1319,medium-risk:validate-phase,unsafe:tight-visible-gap,high-risk:scheduler-only,186..191,23645,0.1165,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,7,12,80,92,2,3,3,30.13,1009,high-risk:visible-cadence,unsafe:tight-visible-gap,high-risk:scheduler-only,40..46,17062,0.1167,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,8,16,92,108,2,3,3,31.05,1007,high-risk:visible-cadence,unsafe:tight-visible-gap,high-risk:scheduler-only,48..56,13655,0.0663,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,9,16,84,100,2,3,4,27.11,939,high-risk:visible-cadence,unsafe:tight-visible-gap,high-risk:scheduler-only,43..51,15325,0.0663,tight,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
walkstuf1-high,98.026,99.000,1469,1440,29,42,12,41,7,17045120,681,458142,32,8432,stage1_window,10,12,268,280,1,2,2,31.07,569,candidate:low-visible-risk,risky:short-visible-gap,scheduler-owned-candidate,136..141,18949,0.2512,short,True,yes,yes,closed-exact-range,no-decode-canonicalization-or-generated-owner,closed-by-experiment-log
